lat,lon,utm_x,utm_y,utc
37.611630455,126.99582323499999,323105.4325841258,4164614.6638091384,100353.70
37.611630876666666,126.99582162666665,323105.2916122376,4164614.713630283,100353.80
37.61163125833333,126.99582032000002,323105.17717435095,4164614.758444232,100353.90
37.611631665,126.99581876833332,323105.04116900906,4164614.8064941177,100354.00
37.61163216,126.99581749,323104.92950074805,4164614.8638303727,100354.10
37.61163222833333,126.99581604333335,323104.8019622066,4164614.874140094,100354.20
37.611632245,126.99581472166668,323104.6853352496,4164614.878481118,100354.30
37.61163240333334,126.99581334666667,323104.5643361652,4164614.8986423356,100354.40
37.611632656666664,126.99581201333334,323104.44724022655,4164614.929266414,100354.50
37.611632875000005,126.99581074999999,323104.3362403991,4164614.9558748496,100354.60
37.61163302,126.99580951499999,323104.227567832,4164614.974292642,100354.70
