lat,lon,utm_x,utm_y,utc
37.61217977166667,126.99392340499999,322939.03336302715,4164679.2005380904,044541.80
37.61217924333334,126.99392433333333,322939.11405524134,4164679.1401612386,044541.90
37.61217887333333,126.99392536666667,322939.2043915545,4164679.0971552744,044542.00
37.61217867833333,126.99392621666667,322939.27895985823,4164679.073913662,044542.10
37.61217798166667,126.99392794833332,322939.4301642892,4164678.993342261,044542.20
37.61217758833333,126.99392893000001,322939.5158845601,4164678.947844676,044542.30
37.612177185,126.99392975833334,322939.5880461287,4164678.9015268153,044542.40
37.612176975000004,126.99393039,322939.64330621896,4164678.877032773,044542.50
37.612176725000005,126.99393129333333,322939.7224518788,4164678.8475876,044542.60
37.612176305000006,126.99393239999999,322939.8191428452,4164678.7988951504,044542.70
37.61217638166667,126.99393315333333,322939.88582264667,4164678.805980705,044542.80
